waktu mulai => 2021 05 07 11:45:26
no => 271; cust id => 0012662235; subnet => S-008; jam => 2021 05 07 12:14:14
no => 272; cust id => 0003805322; subnet => S-001; jam => 2021 05 07 12:14:16
no => 273; cust id => 0052062700; subnet => S-001; jam => 2021 05 07 12:14:20
no => 274; cust id => 0000938829; subnet => S-001; jam => 2021 05 07 12:14:23
no => 275; cust id => 0043252741; subnet => S-001; jam => 2021 05 07 12:14:30
no => 276; cust id => 0002722825; subnet => S-001; jam => 2021 05 07 12:14:37
no => 277; cust id => 0053924775; subnet => S-001; jam => 2021 05 07 12:14:44
no => 278; cust id => 0042282798; subnet => S-001; jam => 2021 05 07 12:14:47
no => 279; cust id => 0053832788; subnet => S-017; jam => 2021 05 07 12:14:54
no => 280; cust id => 0000319624; subnet => S-001; jam => 2021 05 07 12:14:57
no => 281; cust id => 0029242401; subnet => S-001; jam => 2021 05 07 12:15:04
no => 282; cust id => 0003850955; subnet => S-003; jam => 2021 05 07 12:15:10
no => 283; cust id => 0001951425; subnet => S-001; jam => 2021 05 07 12:15:16
no => 284; cust id => 0000579227; subnet => S-001; jam => 2021 05 07 12:15:21
no => 285; cust id => 0002377547; subnet => S-008; jam => 2021 05 07 12:15:27
no => 286; cust id => 0000382127; subnet => S-001; jam => 2021 05 07 12:15:34
no => 287; cust id => 0048506836; subnet => S-001; jam => 2021 05 07 12:15:42
no => 288; cust id => 0029482106; subnet => S-001; jam => 2021 05 07 12:15:45
no => 289; cust id => 0000824128; subnet => S-001; jam => 2021 05 07 12:15:48
no => 290; cust id => 0053756821; subnet => S-001; jam => 2021 05 07 12:15:51
no => 291; cust id => 0002483949; subnet => S-008; jam => 2021 05 07 12:15:54
no => 292; cust id => 0001433259; subnet => S-003; jam => 2021 05 07 12:16:00
no => 293; cust id => 0021727623; subnet => S-001; jam => 2021 05 07 12:16:07
no => 294; cust id => 0001337054; subnet => S-003; jam => 2021 05 07 12:16:14
no => 295; cust id => 0001534650; subnet => S-003; jam => 2021 05 07 12:16:19
no => 296; cust id => 0020314266; subnet => S-007; jam => 2021 05 07 12:16:25
no => 297; cust id => 0028599900; subnet => S-008; jam => 2021 05 07 12:16:28
no => 298; cust id => 0013308218; subnet => S-001; jam => 2021 05 07 12:16:31
no => 299; cust id => 0050580737; subnet => S-001; jam => 2021 05 07 12:16:37
file exists => 0050580737
no => 300; cust id => 0054980826; subnet => S-001; jam => 2021 05 07 12:16:37
no => 301; cust id => 0030104673; subnet => S-001; jam => 2021 05 07 12:16:44
no => 302; cust id => 0001582758; subnet => S-003; jam => 2021 05 07 12:16:51
no => 303; cust id => 0021307459; subnet => S-001; jam => 2021 05 07 12:16:57
no => 304; cust id => 0000905521; subnet => S-001; jam => 2021 05 07 12:17:04
no => 305; cust id => 0004830121; subnet => S-001; jam => 2021 05 07 12:17:11
file exists => 0004830121
no => 306; cust id => 0002510501; subnet => S-009; jam => 2021 05 07 12:17:11
no => 307; cust id => 0001380351; subnet => S-003; jam => 2021 05 07 12:17:16
no => 308; cust id => 0042196832; subnet => S-001; jam => 2021 05 07 12:17:22
no => 309; cust id => 0049814734; subnet => S-001; jam => 2021 05 07 12:17:29
no => 310; cust id => 0027322098; subnet => S-001; jam => 2021 05 07 12:17:34
no => 311; cust id => 0054440821; subnet => S-001; jam => 2021 05 07 12:17:38
no => 312; cust id => 0006077051; subnet => S-001; jam => 2021 05 07 12:17:44
no => 313; cust id => 0004635421; subnet => S-001; jam => 2021 05 07 12:17:50
no => 314; cust id => 0003519329; subnet => S-001; jam => 2021 05 07 12:17:53
no => 315; cust id => 0000546820; subnet => S-001; jam => 2021 05 07 12:18:00
no => 316; cust id => 0016628232; subnet => S-003; jam => 2021 05 07 12:18:06
no => 317; cust id => 0000580621; subnet => S-001; jam => 2021 05 07 12:18:09
no => 318; cust id => 0040918781; subnet => S-001; jam => 2021 05 07 12:18:15
no => 319; cust id => 0021183652; subnet => S-001; jam => 2021 05 07 12:18:22
no => 320; cust id => 0000067520; subnet => S-001; jam => 2021 05 07 12:18:28
no => 321; cust id => 0006336432; subnet => S-010; jam => 2021 05 07 12:18:34
no => 322; cust id => 0017290255; subnet => S-002; jam => 2021 05 07 12:18:39
